Date,Longitude,Latitude,Year,Month,Season,Elevation (m),FIRE_SIZE_HA
2018-05-26,-123.1,49.8,2018,5,Spring,320.0,0.0
2018-05-26,-122.7,53.9,2018,5,Spring,588.0,0.0
2018-05-28,-127.1,54.7,2018,5,Spring,510.0,0.009
2018-05-28,-123.2,49.7,2018,5,Spring,6.0,0.024
2018-05-29,-125.8,49.1,2018,5,Spring,24.45,0.0
2018-05-31,-127.1,54.7,2018,5,Spring,510.0,0.0
2018-06-02,-121.6,49.1,2018,6,Summer,247.0,0.0
2018-06-02,-115.2,49.3,2018,6,Summer,775.0,0.34
2018-06-03,-115.2,49.7,2018,6,Summer,1051.0,0.009
2018-06-04,-121.4,49.4,2018,6,Summer,236.0,0.0
2018-06-05,-117.0,51.3,2018,6,Summer,778.95,0.0
2018-06-06,-124.8,49.3,2018,6,Summer,21.0,0.0
2018-06-07,-118.6,52.9,2018,6,Summer,1860.0,0.0
2018-06-08,-120.6,49.5,2018,6,Summer,830.0,0.0
2018-06-10,-123.7,48.6,2018,6,Summer,280.0,0.6
2018-06-11,-125.8,54.3,2018,6,Summer,830.0,0.009
2018-06-13,-118.2,51.0,2018,6,Summer,1442.0,0.0
2018-06-14,-125.8,54.3,2018,6,Summer,830.0,0.009
2018-06-15,-123.6,48.4,2018,6,Summer,288.0,3.6
2018-06-16,-128.6,54.1,2018,6,Summer,111.0,0.018
2018-06-16,-123.1,55.3,2018,6,Summer,690.0,93.0
2018-06-16,-121.7,50.4,2018,6,Summer,424.0,0.0
2018-06-17,-123.4,50.2,2018,6,Summer,1340.0,2.8
2018-06-18,-123.0,55.1,2018,6,Summer,718.723,0.2
2018-06-19,-120.7,50.5,2018,6,Summer,1440.0,0.018
2018-06-19,-118.2,51.0,2018,6,Summer,1442.0,1.13
2018-06-20,-127.3,54.7,2018,6,Summer,1320.0,0.2
2018-06-20,-126.3,54.2,2018,6,Summer,1310.0,188.0
2018-06-20,-126.2,55.1,2018,6,Summer,951.0,0.15
2018-06-20,-125.9,53.9,2018,6,Summer,944.0,0.32
2018-06-20,-124.8,53.9,2018,6,Summer,961.0,0.0
2018-06-20,-122.3,52.5,2018,6,Summer,1123.2,0.018
2018-06-20,-122.1,52.1,2018,6,Summer,578.0,0.018
2018-06-20,-121.7,52.2,2018,6,Summer,1040.0,0.018
2018-06-20,-118.0,49.3,2018,6,Summer,1397.0,0.018
2018-06-21,-126.2,55.1,2018,6,Summer,951.0,0.15
2018-06-21,-124.8,53.9,2018,6,Summer,961.0,0.4
2018-06-21,-123.7,48.8,2018,6,Summer,38.85,0.0
2018-06-21,-121.8,52.0,2018,6,Summer,730.0,0.018
2018-06-21,-121.5,50.1,2018,6,Summer,350.0,0.0
2018-06-21,-120.6,49.9,2018,6,Summer,1065.0,0.018
2018-06-21,-120.5,53.4,2018,6,Summer,850.0,0.0
2018-06-21,-120.2,53.3,2018,6,Summer,716.0,0.0
2018-06-22,-120.5,53.4,2018,6,Summer,850.0,0.0
2018-06-23,-123.6,49.4,2018,6,Summer,593.0,0.0
2018-06-23,-121.6,49.1,2018,6,Summer,247.0,0.0
2018-06-24,-121.6,49.1,2018,6,Summer,247.0,0.0
2018-06-24,-120.6,49.5,2018,6,Summer,830.0,0.009
2018-06-25,-125.5,49.1,2018,6,Summer,35.0,0.0
